KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                ; REM                               ;  OZIN     ;  OZIE  ;LOCK
/;Витебск;;;;;;;;;;;;;;; 
$;V;R;VI.; Витебск ; VITEBSK ;571;    1 ;123 ;456 ;571; 3001 ;123456789;571; 5001 ;123 ;29.09.04; пр. Людникова 11    ; общ. ОАО "Красный Октябрь", труб-ки ; 55.202490; 30.217016;G
$;V;R;VI.; Витебск ;         ;   ;    1 ;    ;    ;571; 4001 ;123      ;   ;      ;    ;05.09.19; пр. Людникова 11    ; общ. ОАО "Красный Октябрь", труб-ки ; 55.202490; 30.217016;G
$;V;R;VI.; Витебск ; VITEBSK ;571;    2 ;123 ;456 ;571; 3002 ;123456789;571; 5002 ;123 ;17.05.10; П. Бровки 13А       ; завод "Витязь", триподы             ; 55.167496; 30.239121;G
$;V;R;VI.; Витебск ;         ;   ;    2 ;    ;    ;571; 4002 ;1 3      ;   ;      ;    ;05.05.19; П. Бровки 13А       ; завод "Витязь", триподы             ; 55.167496; 30.239121;G
$;V;R;VI.; Витебск ; VITEBSK ;571;    3 ;123 ;456 ;571; 3003 ;123456789;571; 5003 ;123 ;13.07.05; 1-я Пролетарская 14 ; райисполком, трипод                 ; 55.175795; 30.149545;G
$;V;R;VI.; Витебск ; VITEBSK ;571;    4 ;123 ;456 ;571; 3004 ;123456789;571; 5004 ;123 ;29.09.04; Зеньковой 1         ; БЦ "Капитал", трубостойки           ; 55.191437; 30.189105;G
$;V;R;VI.; Витебск ; VITEBSK ;571;    5 ;123 ;456 ;571; 3005 ;123456789;571; 5005 ;123 ;22.01.15; Правды 48           ; офисное здание, трубостойки         ; 55.186721; 30.222149;G
$;V;R;VI.; Витебск ;         ;   ;    5 ;    ;    ;571; 4005 ; 23      ;   ;      ;    ;10.05.19; Правды 48           ; офисное здание, трубостойки         ; 55.186721; 30.222149;G
$;V;R;VI.; Витебск ; VITEBSK ;571;    6 ;123 ;456 ;571; 3006 ;123456789;571; 5006 ;123 ;09.06.05; Замковая 5          ; гостиница "Витебск", трубостойки    ; 55.192030; 30.202543;G
$;V;R;VI.; Витебск ;         ;   ;    6 ;    ;    ;571; 4006 ;123      ;   ;      ;    ;05.05.19; Замковая 5          ; гостиница "Витебск", трубостойки    ; 55.192030; 30.202543;G
$;V;R;VI.; Витебск ; VITEBSK ;571;    7 ;123 ;456 ;571; 3007 ;123456789;571; 5007 ;123 ;24.03.08; Московский пр. 51А  ; СК по Витебской области, трипод     ; 55.174815; 30.245807;G
$;V;R;VI.; Витебск ;         ;   ;    7 ;    ;    ;571; 4007 ;123      ;   ;      ;    ;03.05.19; Московский пр. 51А  ; СК по Витебской области, трипод     ; 55.174815; 30.245807;G
$;V;R;VI.; Витебск ; VITEBSK ;571;    8 ;123 ;456 ;571; 3008 ;123456789;571; 5008 ;123 ;13.07.05; 3-я Чепинская 38    ; котельная, труба                    ; 55.208400; 30.129600;G
$;V;R;VI.; Витебск ; VITEBSK ;571;    9 ;123 ;456 ;571; 3009 ;123456789;571; 5009 ;123 ;29.09.04;Московский пр. 21 к.4; общ. РУП "Витебский ДСК", мачта     ; 55.177413; 30.219709;G
$;V;R;VI.; Витебск ; VITEBSK ;571;    9 ;    ;    ;571; 4009 ;123      ;   ;      ;    ;08.05.19;Московский пр. 21 к.4; общ. РУП "Витебский ДСК", мачта     ; 55.177413; 30.219709;G
$;V;R;VI.; Витебск ; VITEBSK ;571;   10 ;123 ;456 ;571; 3010 ;123456789;571; 5010 ;123 ;09.06.05; Чкалова 36 к. 2     ; общежитие, мачта                    ; 55.166460; 30.215063;G
$;V;R;VI.; Витебск ; VITEBSK ;571;   11 ;123 ;456 ;571; 3011 ;123456789;571; 5011 ;123 ;04.07.07; Лазо 88             ; общ. N5 ВГУ им. П.М.Машерова, мачта ; 55.200518; 30.249605;G
$;V;R;VI.; Витебск ;         ;   ;   11 ;    ;    ;571; 4011 ;12       ;   ;      ;    ;07.05.19; Лазо 88             ; общ. N5 ВГУ им. П.М.Машерова, мачта ; 55.200518; 30.249605;G
$;V;R;VI.; Витебск ; VITEBSK ;571;   12 ;123 ;456 ;571; 3012 ;123456789;571; 5012 ;123 ;29.09.04; Гагарина 222Б       ; ОДО "НП-Сервис", мачта              ; 55.229323; 30.255616;G
$;V;R;VI.; Витебск ;         ;   ;   12 ;    ;    ;571; 4012 ;12       ;   ;      ;    ;09.05.19; Гагарина 222Б       ; ОДО "НП-Сервис", мачта              ; 55.229323; 30.255616;G
