KIND;OPR;STAT;AREA;CITY          ; CB          ; LAC ; CID ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                  ; REM                                                  ;  OZIN     ;  OZIE  ;LOCK

/;Минская область

$;V;R  ;MIO; Борисов             ; BORISOV     ; 113 ;   1 ;123 ;456 ; 113 ; 3500 ;12345678 ;113; 5001 ;123 ;20.02.07; Чапаева 86            ; Жодинская ТЭЦ, котельный цех N3, труба               ; 54.190600; 28.490400;G
$;V;R  ;MIO; Борисов             ;             ;     ;   1 ;    ;    ; 113 ; 4500 ;12       ;   ;      ;    ;08.07.19; Чапаева 86            ; Жодинская ТЭЦ, котельный цех N3, труба               ; 54.190600; 28.490400;G
$;V;R  ;MIO; Дзержинск           ; DZERZHINSK  ; 111 ;   2 ;1237;45689;111 ; 3595 ;123456789;111; 1002 ;123 ;24.09.06; Фоминых               ; труба недостроенной котельной                        ; 53.6848  ; 27.1669  ;G
$;V;R  ;MIO; Дзержинск           ;             ;     ;   2 ;    ;    ; 111 ; 4595 ;123      ;   ;      ;    ;15.06.19; Фоминых               ; труба недостроенной котельной                        ; 53.6848  ; 27.1669  ;G
$;V;R  ;MIO; Столбцы             ; STOLBCY     ; 111 ;   3 ;1234; 567; 111 ; 3740 ;123456789;111; 5003 ;1234;17.10.06;                       ; М1, 287 км, труба                                    ; 53.500243; 26.761543;G
$;V;R  ;MIO; Столбцы             ;             ;     ;   3 ;    ;    ; 111 ; 4740 ;123      ;   ;      ;    ;14.08.19;                       ; М1, 287 км, труба                                    ; 53.500243; 26.761543;G
$;V;R  ;MIO; Крупский            ; KRUPKI      ; 113 ;   4 ;1234;567 ; 113 ; 3817 ;123456789;113; 5004 ;1234;15.06.08; Крупский р-н          ; М1, РТПС                                             ; 54.309095; 29.083659;G
$;V;R  ;MIO; Крупский            ;             ;     ;   4 ;    ;    ; 113 ; 4817 ;  3      ;   ;      ;    ;26.06.19; Крупский р-н          ; М1, РТПС                                             ; 54.309095; 29.083659;G
$;V;R  ;MIO; Колодищи            ; KOLODISCHI  ; 112 ;   6 ;123 ;456 ; 112 ; 3692 ;123456 89;112; 5006 ;123 ;12.04.08; Минская 10            ; почта                                                ; 53.956910; 27.781622;G
$;V;R  ;MIO; Колодищи            ;             ;     ;   6 ;    ;    ; 112 ; 4692 ; 2       ;   ;      ;    ;14.09.19; Минская 10            ; почта                                                ; 53.956910; 27.781622;G
$;V;R  ;MIO; Молодечно           ; MOLODECHNO  ; 115 ;   7 ;123 ;456 ; 115 ; 3535 ;123456789;115; 5007 ;123 ;15.09.06; Б.Хмельницкого        ; РТПЦ "Колос"                                         ; 54.293510; 26.839500;G
$;V;R  ;MIO; Молодечно           ;             ;     ;   7 ;    ;    ; 115 ; 4535 ;123      ;   ;      ;    ;30.07.19; Б.Хмельницкого        ; РТПЦ "Колос"                                         ; 54.293510; 26.839500;G
$;V;R  ;MIO; Несвиж?             ; NESVIZH     ; 111 ;   8 ;123 ;456 ; 142 ; 3609 ;1234567  ;   ;      ;    ;08.07.06; Гейсика 1             ; ЖЭУ РУП "Несвижский ЖКХ", мачта (чья?)               ; 53.222710; 26.681840;G*w
$;V;R  ;MIO; Жодино              ; ZHODINO     ; 113 ;   9 ;1237;4568; 113 ; 3547 ;123456 89;113; 5009 ;123 ;05.04.15; Станционная 1         ; Жодинская ТЭЦ, самая высокая труба                   ; 54.093509; 28.350609;G
$;V;R  ;MIO; Жодино              ;             ;     ;   9 ;    ;    ; 113 ; 4547 ;  3      ;   ;      ;    ;08.07.19; Станционная 1         ; Жодинская ТЭЦ, самая высокая труба                   ; 54.093509; 28.350609;G
$;V;R  ;MIO; Орешники            ; ORESHNIKI   ; 112 ;  10 ;123 ;567 ; 112 ; 3710 ;123456789;112; 5010 ;123 ;09.08.08; Смолевичский р-н      ; М2, РТПС                                             ; 53.977171; 27.950583;G
$;V;R  ;MIO; Орешники            ; ORESHNIKI   ; 112 ;  10 ;   4;   8; 112 ; 1710 ;1  4  7  ;112; 5010 ;   4;21.05.18; Смолевичский р-н      ; М2, РТПС                                             ; 53.977171; 27.950583;G
$;V;R  ;MIO; Орешники            ;             ;     ;  10 ;    ;    ; 112 ; 4710 ;12 4     ;   ;      ;    ;09.06.19; Смолевичский р-н      ; М2, РТПС                                             ; 53.977171; 27.950583;G
$;V;R  ;MIO; Раубичи             ; RAUBICHI    ; 116 ;  11 ;123 ;456 ; 116 ;  532 ;123456789;116; 5011 ;123 ;22.02.07; Минский р-н           ; СК, высокий трамплин                                 ; 54.059499; 27.738074;G
$;V;R  ;MIO; Раубичи             ; RAUBICHI    ; 116 ;  11 ;   7;   8; 116 ; 5321 ;1  4     ;   ;      ;    ;13.09.15; Минский р-н           ; СК, высокий трамплин                                 ; 54.059499; 27.738074;G
$;V;R  ;MIO; Раубичи             ;             ;     ;  11 ;    ;    ; 116 ; 1532 ;123      ;   ;      ;    ;25.05.19; Минский р-н           ; СК, высокий трамплин                                 ; 54.059499; 27.738074;G
$;V;R  ;MIO; Глебковичи          ; GLEBKOVICHI ; 112 ;  13 ;123 ;456 ; 112 ; 3622 ;123456789;112; 5013 ;123 ;22.03.08; Смолевичский р-н      ; башня 70м, около кладбища                            ; 53.918213; 27.851910;G
$;V;R  ;MIO; Глебковичи          ;             ;     ;  13 ;    ;    ; 112 ; 4622 ;1        ;   ;      ;    ;21.08.19; Смолевичский р-н      ; башня 70м, около кладбища                            ; 53.918213; 27.851910;G
$;V;R  ;MIO; Березино            ; BEREZINO    ; 112 ;  14 ;123 ;456 ; 112 ; 3763 ;12345678 ;112; 5014 ;12  ;18.09.06; Октябрьская 16        ; РУПС, мачта                                          ; 53.834160; 28.994240;G
$;V;R  ;MIO; Шершуны             ; SHERSHUNY   ; 116 ;  15 ;123 ;    ;     ;      ;         ;   ;      ;    ;02.06.08; Минский р-н           ; база "Славнефть-Агро", башня 40м                     ; 54.192080; 27.353940;G
$;V;R  ;MIO; Любань              ;             ; 144 ;  15 ;123 ;45  ; 144 ; 3600 ;123456   ;   ;      ;    ;01.06.15; Боровика 15           ; райагросервис, мачта                                 ; 52.807101; 27.997371;G
$;V;R  ;MIO; Боровляны           ; BOROVLYANY  ; 116 ;  16 ;123 ;456 ; 116 ; 3513 ;123456789;116; 5016 ;123 ;31.08.06; Фрунзенская 1А        ; районная поликлиника, мачта                          ; 53.995759; 27.679334;G
$;V;R  ;MIO; Боровляны           ;             ;     ;  16 ;    ;    ; 116 ; 4513 ;123      ;   ;      ;    ;25.05.19; Фрунзенская 1А        ; районная поликлиника, мачта                          ; 53.995759; 27.679334;G
$;V;R  ;MIO; Колодищи            ; KOLODISCHI  ; 112 ;  17 ;123 ;456 ; 112 ; 3524 ;123456789;112; 5017 ;123 ;20.02.07; Скорины 7             ; церковь, трубостойки                                 ; 53.947209; 27.787159;G
$;V;R  ;MIO; Колодищи            ;             ;     ;  17 ;    ;    ; 112 ; 4524 ;1 3      ;   ;      ;    ;19.06.19; Скорины 7             ; церковь, трубостойки                                 ; 53.947209; 27.787159;G
$;V;R  ;MIO; Логойск             ; LOGOJSK     ; 116 ;  18 ;123 ;456 ; 116 ; 3597 ;123456789;116; 5018 ;123 ;03.04.05; Заводская             ; совм.башня 40м                                       ; 54.195469; 27.849434;G
$;V;R  ;MIO; Валерьяново         ;             ; 108 ;  19 ;1   ;    ; 108 ; 1167 ;1  4  7  ;108; 5167 ;1   ;25.05.15; Минский р-н           ; Лесная 1А, база "Евроопт"                            ; 53.964562; 27.673390;G
