KIND;OPR;STAT;AREA; CITY  ; CB                ;LAC ;  CID ;GSM ;DCS ; 3G L; 3G C ;  3G S   ;  DATE   ; ADDR                  ; REM                                   ;  OZIN    ;  OZIE    ;LOCK

/;Гродно

$;M;R;GR.; Гродно         ;                   ;    ;  634 ;    ;    ; 234 ;   30 ;     6  9;   ;      ;    ;21.01.17 ; Курчатова, 45            ; столб                             ; 53.706030; 23.854750;G 
$;M;R;GR.; Гродно         ;                   ;    ;  634 ;    ;    ; 234 ;  421 ;     6   ;   ;      ;    ;02.02.20 ; Курчатова, 45            ; столб                             ; 53.706030; 23.854750;G 
$;M;R;GR.; Гродно         ;                   ; 233;  645 ;    ;4568; 233 ;   35 ;1  4  7  ;   ;      ;    ;03.02.17 ; Понемуньская, 2в         ; ГПК "Понемунь-3", столб           ; 53.664790; 23.868975;G
$;M;R;GR.; Гродно         ;                   ; 230;  800 ;123 ;456 ; 230 ; 1599 ;123456789;230; 2343 ;234 ;01.08.08 ; К.Маркса, 29             ; узел связи, трубостойки           ; 53.676500; 23.838314;G
$;M;R;GR.; Гродно         ;                   ;    ;  800 ;    ;    ; 230 ; 1602 ;12 45 78 ;   ;      ;    ;17.07.17 ; К.Маркса, 29             ; узел связи, трубостойки, доп.     ; 53.676500; 23.838314;G
$;M;R;GR.; Гродно         ;                   ;    ;  800 ;    ;    ; 230 ; 4013 ;      7  ;   ;      ;    ;29.07.19 ; К.Маркса, 29             ; узел связи, трубостойки           ; 53.676500; 23.838314;G
$;M;R;GR.; Гродно         ;                   ;    ;  800 ;    ;    ; 230 ; 4016 ;1        ;   ;      ;    ;02.02.20 ; К.Маркса, 29             ; узел связи, трубостойки           ; 53.676500; 23.838314;G
$;M;R;GR.; Гродно         ;                   ; 233;  801 ;123 ;4568; 233 ; 5703 ;12 45 78 ;233; 6427 ; 23 ;01.08.08 ; пр-кт Космонавтов, 100;ПО "Азот", заводоуправление, трубостойки; 53.677100; 23.894100;
$;M;R;GR.; Гродно         ;                   ;    ;  801 ;    ;    ; 233 ; 5707 ; 2  5  8 ;   ;      ;    ;25.01.19 ; пр-кт Космонавтов, 100;ПО "Азот", заводоуправление, трубостойки, доп.; 53.677100; 23.894100;
$;M;R;GR.; Гродно         ;                   ; 233;  802 ;123 ;456 ; 233 ; 1606 ;123456789;233; 2343 ;567 ;22.12.08 ; Томина, 6                ; жилой дом, трубостойки            ; 53.648300; 23.833100;
$;M;R;GR.; Гродно         ;                   ;    ;  802 ;    ;    ; 233 ; 1609 ;12 45 78 ;   ;      ;    ;03.03.19 ; Томина, 6                ; жилой дом, трубостойки, доп.      ; 53.648300; 23.833100;
$;M;R;GR.; Гродно         ;                   ; 234;  803 ;123 ;456 ; 234 ; 4366 ;  3  6789;234; 6428 ;012 ;01.08.08 ; Горького, 89             ; ПО "Волна", трубостойки           ; 53.704700; 23.818700;
$;M;R;GR.; Гродно         ;                   ;    ;  803 ;    ;    ; 234 ; 1233 ; 24578   ;   ;      ;    ;25.01
